id,date,title,keywords,paper_url,code_url,code_repo,stars_badge,recommendation,section,problem,method,core_idea,system_component,hardware_target,benchmark_dataset,benchmark_metric,implementation_status,reproducibility_level,limitation,evidence_grade
22,2025.02,[**EPLB**] DeepSeek EPLB(@deepseek-ai),EPLB,,https://github.com/deepseek-ai/EPLB,EPLB,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek EPLB(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
23,2025.02,[**3FS**] DeepSeek 3FS(@deepseek-ai),3FS,,https://github.com/deepseek-ai/3FS,3FS,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek 3FS(@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
24,2025.03,[**推理系统**] DeepSeek-V3 / R1 推理系统概览 (@deepseek-ai),推理系统,https://zhuanlan.zhihu.com/p/27181462601,,,False,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,DeepSeek-V3 / R1 推理系统概览 (@deepseek-ai),Attention + KV cache,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,derived_analysis
25,2025.02,[**MHA2MLA**] Towards Economical Inference: Enabling DeepSeek’s Multi-Head Latent Attention in Any Transformer-based LLMs(@fudan.edu.cn),MHA2MLA,https://arxiv.org/pdf/2502.14837,https://github.com/JT-Ushio/MHA2MLA,MHA2MLA,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,Towards Economical Inference: Enabling DeepSeek’s Multi-Head Latent Attention in Any Transformer-based LLMs(@fudan.edu.c,Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
26,2025.02,[**TransMLA**] TransMLA: Multi-head Latent Attention Is All You Need(@PKU),TransMLA,https://arxiv.org/pdf/2502.07864,https://github.com/fxmeng/TransMLA,TransMLA,True,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,TransMLA: Multi-head Latent Attention Is All You Need(@PKU),Attention + KV cache,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
27,2025.03,[**X-EcoMLA**] X-EcoMLA: Upcycling Pre-Trained Attention into MLA for Efficient and Extreme KV Compression(@AMD),X-EcoMLA,https://arxiv.org/pdf/2503.11132,,,False,2,DeepSeek/MLA Topics,KV cache memory reduction via latent attention,Multi-head latent attention,X-EcoMLA: Upcycling Pre-Trained Attention into MLA for Efficient and Extreme KV Compression(@AMD),Attention + KV cache,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
28,2019.10,[**MP: ZeRO**] DeepSpeed-ZeRO: Memory Optimizations Toward Training Trillion Parameter Models(@microsoft.com),MP: ZeRO,https://arxiv.org/pdf/1910.02054,https://github.com/microsoft/DeepSpeed,deepspeed,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,DeepSpeed-ZeRO: Memory Optimizations Toward Training Trillion Parameter Models(@microsoft.com),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
29,2020.05,[**TP: Megatron-LM**] Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism(@NVIDIA),TP: Megatron-LM,https://arxiv.org/pdf/1909.08053.pdf,https://github.com/NVIDIA/Megatron-LM,Megatron-LM,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism(@NVIDIA),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
30,2022.05,[**SP: Megatron-LM**] Megatron-LM: Reducing Activation Recomputation in Large Transformer Models(@NVIDIA),SP: Megatron-LM,https://arxiv.org/pdf/2205.05198,https://github.com/NVIDIA/Megatron-LM,Megatron-LM,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Megatron-LM: Reducing Activation Recomputation in Large Transformer Models(@NVIDIA),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
31,2023.05,[**SP: BPT**] Blockwise Parallel Transformer for Large Context Models(@UC Berkeley),SP: BPT,https://arxiv.org/pdf/2305.19370,https://github.com/lhao499/RingAttention,RingAttention,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Blockwise Parallel Transformer for Large Context Models(@UC Berkeley),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
32,2023.10,[**SP: Ring Attention**] Ring Attention with Blockwise Transformers for Near-Infinite Context(@UC Berkeley),SP: Ring Attention,https://arxiv.org/pdf/2310.01889.pdf,https://github.com/lhao499/RingAttention,RingAttention,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Ring Attention with Blockwise Transformers for Near-Infinite Context(@UC Berkeley),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
33,2023.11,[**SP: STRIPED ATTENTION**] STRIPED ATTENTION: FASTER RING ATTENTION FOR CAUSAL TRANSFORMERS(@MIT etc),SP: STRIPED ATTENTION,https://arxiv.org/pdf/2311.09431.pdf,https://github.com/exists-forall/striped_attention/,striped_attention,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,STRIPED ATTENTION: FASTER RING ATTENTION FOR CAUSAL TRANSFORMERS(@MIT etc),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
34,2023.10,[**SP: DEEPSPEED ULYSSES**] DEEPSPEED ULYSSES: SYSTEM OPTIMIZATIONS FOR ENABLING TRAINING OF EXTREME LONG SEQUENCE TRANSFORMER MODELS(@microsoft.com),SP: DEEPSPEED ULYSSES,https://arxiv.org/pdf/2309.14509,https://github.com/microsoft/DeepSpeed,deepspeed,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,DEEPSPEED ULYSSES: SYSTEM OPTIMIZATIONS FOR ENABLING TRAINING OF EXTREME LONG SEQUENCE TRANSFORMER MODELS(@microsoft.com,Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
35,2024.03,[**CP: Megatron-LM**] Megatron-LM: Context parallelism overview(@NVIDIA),CP: Megatron-LM,https://docs.nvidia.com/megatron-core/developer-guide/latest/api-guide/context_parallel.html,https://github.com/NVIDIA/Megatron-LM,Megatron-LM,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Megatron-LM: Context parallelism overview(@NVIDIA),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
36,2024.05,[**SP: Unified Sequence Parallel (USP)**] YunChang: A Unified Sequence Parallel (USP) Attention for Long Context LLM Model Training and Inference(@Tencent),SP: Unified Sequence Parallel (USP),,https://github.com/feifeibear/long-context-attention,long-context-attention,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,YunChang: A Unified Sequence Parallel (USP) Attention for Long Context LLM Model Training and Inference(@Tencent),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,medium,No formal paper/documentation,unverified_claim
37,2024.11,"[**CP: Meta**] Context Parallelism for Scalable Million-Token Inference(@Meta Platforms, Inc)",CP: Meta,https://arxiv.org/pdf/2411.01783,,,False,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,"Context Parallelism for Scalable Million-Token Inference(@Meta Platforms, Inc)",Communication/parallelism,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
38,2024.11,[**TP: Comm Compression**] Communication Compression for Tensor Parallel LLM Inference(@recogni.com),TP: Comm Compression,https://arxiv.org/pdf/2411.09510,,,False,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Communication Compression for Tensor Parallel LLM Inference(@recogni.com),Communication/parallelism,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
39,2024.11,"[**SP: Star-Attention, 11x~ speedup**] Star Attention: Efficient LLM Inference over Long Sequences(@NVIDIA)","SP: Star-Attention, 11x~ speedup",https://arxiv.org/pdf/2411.17116,https://github.com/NVIDIA/Star-Attention,Star-Attention,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,Star Attention: Efficient LLM Inference over Long Sequences(@NVIDIA),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
40,2024.12,[**SP: TokenRing**] TokenRing: An Efficient Parallelism Framework for Infinite-Context LLMs via Bidirectional Communication(@SJTU),SP: TokenRing,https://arxiv.org/pdf/2412.20501,https://github.com/ACA-Lab-SJTU/token-ring,token-ring,True,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,TokenRing: An Efficient Parallelism Framework for Infinite-Context LLMs via Bidirectional Communication(@SJTU),Communication/parallelism,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
41,2025.05,[**FSDP 1/2**] PyTorch FSDP: Getting Started with Fully Sharded Data Parallel(FSDP) (@pytorch),FSDP 1/2,https://pytorch.org/tutorials/intermediate/FSDP_tutorial.html#getting-started-with-fully-sharded-data-parallel-fsdp,,,False,2,Multi-GPUs/Multi-Nodes Parallelism,Scaling inference/training across multiple devices,Distributed parallelism,PyTorch FSDP: Getting Started with Fully Sharded Data Parallel(FSDP) (@pytorch),Communication/parallelism,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,derived_analysis
42,2024.01,[**DistServe**] DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving(@PKU),DistServe,https://arxiv.org/pdf/2401.09670,https://github.com/LLMServe/DistServe,DistServe,True,2,Disaggregating Prefill and Decoding,Optimizing prefill-decode resource allocation,Phase disaggregation,DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving(@PKU),Serving architecture,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
43,2024.06,[**Mooncake**] Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving(@Moonshot AI),Mooncake,https://github.com/kvcache-ai/Mooncake/blob/main/Mooncake-v1.pdf,https://github.com/kvcache-ai/Mooncake,Mooncake,True,2,Disaggregating Prefill and Decoding,Optimizing prefill-decode resource allocation,Phase disaggregation,Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving(@Moonshot AI),Serving architecture,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
44,2024.12,[**KVDirect**] KVDirect: Distributed Disaggregated LLM Inference(@ByteDance),KVDirect,https://arxiv.org/pdf/2501.14743,,,False,1,Disaggregating Prefill and Decoding,Optimizing prefill-decode resource allocation,Phase disaggregation,KVDirect: Distributed Disaggregated LLM Inference(@ByteDance),Serving architecture,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
45,2025.01,[**DeServe**] DESERVE: TOWARDS AFFORDABLE OFFLINE LLM INFERENCE VIA DECENTRALIZATION(@Berkeley),DeServe,https://arxiv.org/pdf/2501.14784,,,False,1,Disaggregating Prefill and Decoding,Optimizing prefill-decode resource allocation,Phase disaggregation,DESERVE: TOWARDS AFFORDABLE OFFLINE LLM INFERENCE VIA DECENTRALIZATION(@Berkeley),Serving architecture,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
46,2025.04,[**MegaScale-Infer**] MegaScale-Infer: Serving Mixture-of-Experts at Scale with Disaggregated Expert Parallelism(@ByteDance Seed),MegaScale-Infer,https://arxiv.org/pdf/2504.02263,,,False,1,Disaggregating Prefill and Decoding,Optimizing prefill-decode resource allocation,Phase disaggregation,MegaScale-Infer: Serving Mixture-of-Experts at Scale with Disaggregated Expert Parallelism(@ByteDance Seed),Serving architecture,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
47,2023.10,[Evaluating] Evaluating Large Language Models: A Comprehensive Survey(@tju.edu.cn),Evaluating,https://arxiv.org/pdf/2310.19736.pdf,https://github.com/tjunlp-lab/Awesome-LLMs-Evaluation-Papers,Awesome-LLMs-Evaluation,True,1,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,Evaluating Large Language Models: A Comprehensive Survey(@tju.edu.cn),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
48,2023.11,"[**Runtime Performance**] Dissecting the Runtime Performance of the Training, Fine-tuning, and Inference of Large Language Models(@hkust-gz.edu.cn)",Runtime Performance,https://arxiv.org/pdf/2311.03687.pdf,,,False,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,"Dissecting the Runtime Performance of the Training, Fine-tuning, and Inference of Large Language Models(@hkust-gz.edu.cn",Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
49,2023.11,[ChatGPT Anniversary] ChatGPT’s One-year Anniversary: Are Open-Source Large Language Models Catching up?(@e.ntu.edu.sg),ChatGPT Anniversary,https://arxiv.org/pdf/2311.16989.pdf,,,False,1,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,ChatGPT’s One-year Anniversary: Are Open-Source Large Language Models Catching up?(@e.ntu.edu.sg),Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
50,2023.12,[Algorithmic Survey] The Efficiency Spectrum of Large Language Models: An Algorithmic Survey(@Microsoft),Algorithmic Survey,https://arxiv.org/pdf/2312.00678.pdf,,,False,1,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey(@Microsoft),Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
51,2023.12,"[Security and Privacy] A Survey on Large Language Model (LLM) Security and Privacy: The Good, the Bad, and the Ugly(@Drexel University)",Security and Privacy,https://arxiv.org/pdf/2312.02003.pdf,,,False,1,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,"A Survey on Large Language Model (LLM) Security and Privacy: The Good, the Bad, and the Ugly(@Drexel University)",Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
52,2023.12,[**LLMCompass**] A Hardware Evaluation Framework for Large Language Model Inference(@princeton.edu),LLMCompass,https://arxiv.org/pdf/2312.03134.pdf,,,False,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,A Hardware Evaluation Framework for Large Language Model Inference(@princeton.edu),Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
53,2023.12,[**Efficient LLMs**] Efficient Large Language Models: A Survey(@Ohio State University etc),Efficient LLMs,https://arxiv.org/pdf/2312.03863.pdf,https://github.com/AIoT-MLSys-Lab/Efficient-LLMs-Survey,Efficient-LLMs-Survey,True,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,Efficient Large Language Models: A Survey(@Ohio State University etc),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
54,2023.12,[**Serving Survey**] Towards Efficient Generative Large Language Model Serving: A Survey from Algorithms to Systems(@Carnegie Mellon University),Serving Survey,https://arxiv.org/pdf/2312.15234.pdf,,,False,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,Towards Efficient Generative Large Language Model Serving: A Survey from Algorithms to Systems(@Carnegie Mellon Universi,Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
55,2024.01,[Understanding LLMs] Understanding LLMs: A Comprehensive Overview from Training to Inference(@Shaanxi Normal University etc),Understanding LLMs,https://arxiv.org/pdf/2401.02038.pdf,,,False,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,Understanding LLMs: A Comprehensive Overview from Training to Inference(@Shaanxi Normal University etc),Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
56,2024.02,[LLM-Viewer] LLM Inference Unveiled: Survey and Roofline Model Insights(@Zhihang Yuan etc),LLM-Viewer,https://arxiv.org/pdf/2402.16363.pdf,https://github.com/hahnyuan/LLM-Viewer,LLM-Viewer,True,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,LLM Inference Unveiled: Survey and Roofline Model Insights(@Zhihang Yuan etc),Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
57,2024.07,[**Internal Consistency & Self-Feedback**] Internal Consistency and Self-Feedback in Large Language Models: A Survey,Internal Consistency & Self-Feedback,https://arxiv.org/pdf/2407.14507,https://github.com/IAAR-Shanghai/ICSFSurvey,ICSF-Survey,True,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,Internal Consistency and Self-Feedback in Large Language Models: A Survey,Multiple components,NVIDIA GPU,unverified,unverified,open_source,high,None identified,verified_by_code
58,2024.09,"[**Low-bit**] A Survey of Low-bit Large Language Models: Basics, Systems, and Algorithms(@Beihang etc)",Low-bit,https://arxiv.org/pdf/2409.16694,,,False,2,LLM Algorithmic/Eval Survey,Surveying LLM efficiency techniques,Survey/benchmark,"A Survey of Low-bit Large Language Models: Basics, Systems, and Algorithms(@Beihang etc)",Multiple components,NVIDIA GPU,unverified,unverified,paper_only,low,No public code repository,verified_by_paper
